BadageType,UserCount
Student,45
Supporter,44
Editor,42
Teacher,39
Scholar,39
Commentator,29
Critic,27
Tumbleweed,23
Curious,22
Nice Question,22
Popular Question,20
Autobiographer,17
Custodian,15
Citizen Patrol,14
Self-Learner,13
Organizer,13
Nice Answer,12
Peer Pressure,9
Caucus,9
Cleanup,7
Excavator,6
Educated,6
Informed,6
Promoter,5
Benefactor,4
Revival,3
Quorum,3
Backer,2
Disciplined,2
Investor,1
Primer,1
Renovator,1
Mortarboard,1
Incrementalist,1
Announcer,1
Tag Editor,1
Vox Populi,1
Talkative,1
Peer Review,1
Bluebook,1
Suffrage,1
