Tag,QuesCount,AnsCount
python,600,756
pandas,600,756
dataframe,158,205
numpy,63,84
csv,30,37
python-2.7,28,36
matplotlib,24,26
datetime,23,32
group-by,21,31
python-3.x,19,17
indexing,16,24
multiple-columns,15,22
scikit-learn,13,14
condition,13,25
plot,12,13
dictionary,12,14
list,9,11
time-series,9,14
string,9,16
json,9,9
series,9,13
excel,8,8
multi-index,8,11
aggregate,7,10
merge,7,10
nan,7,9
arrays,6,7
pyspark,6,8
pivot,5,4
sklearn-pandas,5,7
for-loop,5,3
mysql,5,6
sum,5,7
casting,5,6
scipy,5,8
resampling,5,6
jupyter-notebook,5,4
pivot-table,5,5
regex,4,7
html,4,3
histogram,4,4
apply,4,1
r,4,4
reshape,4,4
datetimeindex,4,5
sorting,4,10
spark-dataframe,4,8
bar-chart,3,4
function,3,3
data-manipulation,3,2
int,3,6
append,3,5
replace,3,5
hdf5,3,0
duplicates,3,6
machine-learning,3,3
sql,3,4
grouping,3,4
date,3,6
split,3,4
data-science,3,3
dask,3,4
timestamp,3,2
tensorflow,3,3
xlsxwriter,3,2
unicode,3,3
python-3.5,3,4
filtering,3,3
apache-spark,3,4
seaborn,2,1
reindex,2,3
moving-average,2,3
aggregate-functions,2,3
nested,2,1
sqlalchemy,2,1
data-visualization,2,2
select,2,3
vectorization,2,1
optimization,2,4
rpy2,2,2
slice,2,3
categorical-data,2,2
classification,2,3
finance,2,5
pandasql,2,2
chunks,2,2
concat,2,3
charts,2,2
pdfpages,2,2
mean,2,4
performance,2,3
graph,2,5
lambda,2,2
bokeh,2,0
jupyter,2,2
django,2,1
count,2,2
utf-8,2,3
timezone,2,1
inner-join,2,2
beautifulsoup,2,1
hadoop,2,2
debugging,1,1
panel-data,1,2
special-characters,1,1
coupling,1,0
intervals,1,1
expand,1,1
substring,1,1
data-structures,1,1
missing-data,1,1
panel,1,1
pycharm,1,0
data-analysis,1,1
technical-indicator,1,1
loops,1,1
ironpython,1,0
weighted-average,1,1
period,1,1
filter,1,1
rank,1,1
polygon,1,0
q-lang,1,1
intersection,1,2
cluster-analysis,1,1
unique,1,1
flask,1,1
string-concatenation,1,1
range,1,1
tuples,1,1
rows,1,1
statistics,1,2
quantile,1,1
options,1,1
calculated-columns,1,2
standard-deviation,1,0
days,1,1
numeric,1,1
copy,1,2
data-munging,1,1
imputation,1,1
algorithmic-trading,1,0
fractions,1,1
dbscan,1,1
amazon-redshift,1,1
data-conversion,1,1
strftime,1,1
boolean,1,5
contains,1,3
where,1,2
openpyxl,1,1
pymssql,1,0
uppercase,1,2
xml,1,1
transform,1,2
text,1,3
removing-whitespace,1,1
add,1,1
matrix,1,0
bigdata,1,1
static,1,0
proj,1,1
string-length,1,1
xml-parsing,1,0
visualization,1,2
large-files,1,0
separator,1,1
itertools,1,1
data-representation,1,1
feature-selection,1,2
bins,1,1
chunking,1,1
beta,1,0
aggregation,1,1
apache-spark-sql,1,1
floating-accuracy,1,1
integer,1,1
column-width,1,1
ram,1,1
cython,1,0
analytics,1,2
multiplying,1,1
type-conversion,1,2
multidimensional-array,1,0
hour,1,2
rdd,1,1
in-place,1,1
python-requests,1,1
metadata,1,1
iteration,1,2
summarize,1,2
export,1,0
date-range,1,1
importerror,1,2
scatter-plot,1,1
gis,1,1
coding-style,1,0
categories,1,2
mapping,1,2
word-cloud,1,1
division,1,0
artificial-intelligence,1,1
excel-formula,1,0
ordinal,1,1
sqldf,1,0
geopandas,1,0
min,1,1
sampling,1,1
zipfile,1,1
exxeleron-q,1,1
android,1,1
comparison,1,1
directory,1,3
percentile,1,1
postgresql,1,1
subset,1,1
shift,1,3
printing,1,1
python-multithreading,1,1
transpose,1,1
set,1,1
enumeration,1,1
pickle,1,1
ranking,1,1
types,1,0
dedupeplugin,1,3
tableau,1,1
window,1,0
interactive,1,1
genfromtxt,1,2
subplot,1,1
memory,1,0
extract,1,1
comparison-operators,1,1
multithreading,1,1
columnname,1,1
assign,1,1
python.net,1,0
kdb,1,1
group,1,2
shapely,1,0
p-value,1,1
lowercase,1,2
hive,1,1
substitution,1,1
sql-server,1,0
median,1,1
divide,1,1
